symbol,direction,entry_date,exit_date,entry_price,exit_price,exit_reason,pnl_pct,pnl_cash,capital
HINDALCO.NS,BUY,2025-05-27,2025-05-30,656.9133,628.8819,SL,-4.297,-859.43,99140.57
DIVISLAB.NS,SELL,2025-05-27,2025-07-08,6691.17,6994.6709,SL,-4.566,-905.32,98235.25
VEDL.NS,BUY,2025-07-09,2025-07-10,437.5349,417.3703,SL,-4.639,-911.37,97323.89
HEROMOTOCO.NS,SELL,2025-05-27,2025-08-04,4220.9733,4423.8814,SL,-4.837,-941.54,96382.35
UPL.NS,SELL,2025-08-04,2025-08-05,673.1633,709.0262,SL,-5.358,-1032.74,95349.61
INDUSINDBK.NS,BUY,2025-05-27,2025-08-28,798.9993,750.7037,SL,-6.075,-1158.4,94191.21
BPCL.NS,BUY,2025-08-12,2025-08-29,305.9828,292.8194,SL,-4.332,-816.08,93375.13
BAJAJ-AUTO.NS,SELL,2025-05-27,2025-09-02,8719.54,9080.474,SL,-4.169,-778.63,92596.5
BRITANNIA.NS,SELL,2025-08-28,2025-09-04,5762.6173,5999.8442,SL,-4.147,-767.93,91828.56
JSWSTEEL.NS,BUY,2025-05-30,2025-09-08,1000.8065,1106.4812,TP,10.529,1933.72,93762.28
ADANIENT.NS,BUY,2025-08-29,2025-09-19,2284.1415,2534.3021,TP,10.922,2048.16,95810.44
TCS.NS,BUY,2025-09-08,2025-09-25,2985.9054,2899.7451,SL,-2.916,-558.68,95251.75
VEDL.NS,BUY,2025-07-10,2025-10-03,416.2751,465.3718,TP,11.764,2241.14,97492.89
VEDL.NS,BUY,2025-10-03,2025-10-29,457.4428,506.3822,TP,10.668,2080.2,99573.09
ADANIENT.NS,SELL,2025-09-24,2025-11-04,2653.6725,2402.3302,TP,9.441,1880.24,101453.33
TCS.NS,BUY,2025-09-26,2025-11-12,2879.1963,3067.993,TP,6.527,1324.43,102777.76
BAJFINANCE.NS,BUY,2025-11-11,2025-11-21,1044.2218,1001.0525,SL,-4.164,-855.96,101921.8
ADANIENT.NS,BUY,2025-11-13,2025-11-27,2426.8644,2305.6891,SL,-5.023,-1023.92,100897.88
JSWSTEEL.NS,BUY,2025-12-08,2025-12-09,1165.4825,1116.5925,SL,-4.225,-852.55,100045.32
ADANIENT.NS,BUY,2025-11-28,2026-01-09,2268.2336,2168.4019,SL,-4.431,-886.66,99158.66
WIPRO.NS,BUY,2026-01-19,2026-01-20,245.7805,235.0111,SL,-4.412,-874.92,98283.74
ADANIENT.NS,BUY,2026-01-21,2026-01-23,2057.5282,1981.7598,SL,-3.712,-729.76,97553.99
M&M.NS,BUY,2025-09-04,2026-01-27,3528.7635,3373.6131,SL,-4.427,-863.69,96690.3
ADANIENT.NS,BUY,2026-01-23,2026-01-27,2081.5403,1976.6544,SL,-5.069,-980.22,95710.08
ASIANPAINT.NS,BUY,2026-01-27,2026-01-28,2721.2599,2606.813,SL,-4.236,-810.79,94899.29
ADANIENT.NS,BUY,2026-01-27,2026-02-03,1909.9545,2187.8599,TP,14.52,2755.94,97655.23
BPCL.NS,BUY,2026-01-12,2026-02-04,344.071,380.5047,TP,10.559,2062.28,99717.52
EICHERMOT.NS,BUY,2026-02-03,2026-02-13,7203.6,8008.4509,TP,11.143,2222.28,101939.8
TATACONSUM.NS,BUY,2026-02-04,2026-03-05,1154.577,1095.9944,SL,-5.104,-1040.59,100899.21
INDUSINDBK.NS,SELL,2026-01-20,2026-03-12,945.527,843.8344,TP,10.725,2164.31,103063.52
EICHERMOT.NS,SELL,2026-02-13,2026-03-12,7896.05,6996.2607,TP,11.365,2342.72,105406.25
HEROMOTOCO.NS,BUY,2026-01-29,2026-03-13,5419.1345,5187.1815,SL,-4.31,-908.66,104497.59
GRASIM.NS,BUY,2026-03-12,2026-03-13,2712.5556,2598.0902,SL,-4.25,-888.2,103609.4
WIPRO.NS,BUY,2026-03-12,2026-03-16,201.1605,193.0662,SL,-4.054,-840.02,102769.37
HINDALCO.NS,BUY,2026-03-05,2026-03-20,930.465,879.2937,SL,-5.53,-1136.54,101632.84
BRITANNIA.NS,SELL,2025-09-04,2026-03-23,6197.8995,5516.0847,TP,10.971,2229.97,103862.81
TECHM.NS,SELL,2026-03-13,2026-03-23,1341.8288,1411.6542,SL,-5.234,-1087.19,102775.63
POWERGRID.NS,BUY,2026-03-16,2026-04-02,301.1005,287.8708,SL,-4.424,-909.32,101866.31
RELIANCE.NS,BUY,2026-03-13,2026-04-06,1385.8926,1326.8973,SL,-4.287,-873.37,100992.94
MARUTI.NS,SELL,2026-04-02,2026-04-08,12382.8055,13014.5667,SL,-5.132,-1036.58,99956.37
WIPRO.NS,BUY,2026-03-23,2026-04-15,189.5047,209.7312,TP,10.643,2127.74,102084.11
INFY.NS,BUY,2026-03-20,EOD,1242.621,1318.0406,EOD,6.039,1233.05,103317.16
APOLLOHOSP.NS,BUY,2026-03-23,EOD,7291.644,7695.1505,EOD,5.504,1137.28,104454.44
GRASIM.NS,BUY,2026-04-06,EOD,2546.2725,2719.1398,EOD,6.759,1412.02,105866.46
TATACONSUM.NS,BUY,2026-04-08,EOD,1076.538,1112.6434,EOD,3.324,703.77,106570.23
RELIANCE.NS,BUY,2026-04-15,EOD,1337.6685,1364.3175,EOD,1.962,418.22,106988.45
