symbol,engine,total_trades,win_trades,loss_trades,win_rate,avg_win_pct,avg_loss_pct,rr_ratio,expectancy_pct,total_return_pct,max_drawdown_pct,sharpe_ratio,final_capital
^NSEI,astra,2,0.0,2.0,0.0,0.0,-1.37,0.0,-1.37,-0.27,-0.27,-66.839,99726.02
^NSEI,astra_ai,1,0.0,1.0,0.0,0.0,-3.372,0.0,-3.372,-0.34,-0.34,0.0,99662.82
^NSEI,astra_ml,0,,,0.0,,,,,0.0,,,
^NSEI,ensemble,0,,,0.0,,,,,0.0,,,
RELIANCE.NS,astra,4,1.0,3.0,25.0,3.844,-2.76,1.39,-1.109,-0.44,-0.52,-6.139,99555.54
RELIANCE.NS,astra_ai,2,1.0,1.0,50.0,5.27,-4.372,1.21,0.449,0.09,-0.44,1.478,100087.53
RELIANCE.NS,astra_ml,1,1.0,0.0,100.0,5.116,0.0,inf,5.116,0.51,0.0,0.0,100511.57
RELIANCE.NS,ensemble,0,,,0.0,,,,,0.0,,,
TCS.NS,astra,4,2.0,2.0,50.0,5.833,-1.366,4.27,2.234,0.89,-0.22,9.284,100893.48
TCS.NS,astra_ai,4,2.0,2.0,50.0,6.88,-2.554,2.69,2.162,0.86,-0.51,7.256,100863.26
TCS.NS,astra_ml,4,4.0,0.0,100.0,5.212,0.0,inf,5.212,2.1,0.0,25.808,102099.11
TCS.NS,ensemble,1,1.0,0.0,100.0,7.251,0.0,inf,7.251,0.73,0.0,0.0,100725.07
HDFCBANK.NS,astra,1,0.0,1.0,0.0,0.0,-2.437,0.0,-2.437,-0.24,-0.24,0.0,99756.35
HDFCBANK.NS,astra_ai,1,1.0,0.0,100.0,7.203,0.0,inf,7.203,0.72,0.0,0.0,100720.3
HDFCBANK.NS,astra_ml,0,,,0.0,,,,,0.0,,,
HDFCBANK.NS,ensemble,0,,,0.0,,,,,0.0,,,
INFY.NS,astra,5,2.0,3.0,40.0,5.392,-2.687,2.01,0.545,0.27,-0.8,2.181,100268.74
INFY.NS,astra_ai,4,2.0,2.0,50.0,4.062,-4.246,0.96,-0.092,-0.04,-0.85,-0.303,99958.55
INFY.NS,astra_ml,1,0.0,1.0,0.0,0.0,-3.232,0.0,-3.232,-0.32,-0.32,0.0,99676.79
INFY.NS,ensemble,0,,,0.0,,,,,0.0,,,
ICICIBANK.NS,astra,1,1.0,0.0,100.0,3.735,0.0,inf,3.735,0.37,0.0,0.0,100373.5
ICICIBANK.NS,astra_ai,1,1.0,0.0,100.0,2.676,0.0,inf,2.676,0.27,0.0,0.0,100267.64
ICICIBANK.NS,astra_ml,0,,,0.0,,,,,0.0,,,
ICICIBANK.NS,ensemble,0,,,0.0,,,,,0.0,,,
BTC-USD,crypto_rules,4,2.0,2.0,50.0,15.34,-10.998,1.39,2.171,0.83,-2.19,2.559,100834.93
ETH-USD,crypto_rules,6,3.0,3.0,50.0,21.315,-12.793,1.67,4.261,2.49,-2.02,3.777,102486.5
